24-09-11 00:13:02.616 [main] INFO  c.e.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.3 with PID 2536 (E:\DOWNLOADS\journalApp_CALL_API_POST\journalApp\target\classes started by KAUSHIK in E:\DOWNLOADS\journalApp_CALL_API_POST\journalApp) 
24-09-11 00:13:02.637 [main] INFO  c.e.journalApp.JournalApplication - The following 1 profile is active: "prod" 
24-09-11 00:13:04.559 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-09-11 00:13:04.644 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 79 ms. Found 3 MongoDB repository interfaces. 
24-09-11 00:13:05.417 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
24-09-11 00:13:05.432 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
24-09-11 00:13:05.434 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-09-11 00:13:05.434 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25] 
24-09-11 00:13:05.510 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext 
24-09-11 00:13:05.510 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2716 ms 
24-09-11 00:13:05.956 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./21.0.3+9-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='kaushikjain06082002', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4f59a516, com.mongodb.Jep395RecordCodecProvider@4e22368c, com.mongodb.KotlinCodecProvider@411cd156]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.nnmasmt.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-1jd1b5-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
24-09-11 00:13:06.129 [cluster-ClusterId{value='66e093397ca85b39ebf32efe', description='Cluster0'}-srv-cluster0.nnmasmt.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017 to client view of cluster 
24-09-11 00:13:06.168 [cluster-ClusterId{value='66e093397ca85b39ebf32efe', description='Cluster0'}-srv-cluster0.nnmasmt.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017 to client view of cluster 
24-09-11 00:13:06.179 [cluster-ClusterId{value='66e093397ca85b39ebf32efe', description='Cluster0'}-srv-cluster0.nnmasmt.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017 to client view of cluster 
24-09-11 00:13:06.386 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-w0heccj-shard-00-02.nnmasmt.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-w0heccj-shard-00-00.nnmasmt.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-w0heccj-shard-00-01.nnmasmt.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
